experiment,trial_id,accuracy,model_type,test_loss,batch,optimizer,num_blocks,dropout,hidden,num_layers,num_heads,recallmacro,iterations,factor,trainfile
2025-02-01_18-39-26,d77553d2,0.9848901098901099,CNN1DGRUResNet,0.08667893707752228,16,<class 'torch.optim.adam.Adam'>,4,0.2,64,4,,0.9768645731557821,25,0.3,heart_big_oversampled_full_train.parq
2025-01-25_10-39-41,b8ba2056,0.9887820512820513,2DCNNResnet,0.06656304001808167,16,,1,0.3,128,3,8.0,0.9743958727475212,29,0.2,heart_big_oversampled_full_train.parq
2025-01-25_15-38-08,1044f763,0.9878663003663004,2DCNNResnet,0.09077927470207214,16,,3,0.3,64,3,8.0,0.9733415699075041,39,0.3,heart_big_oversampled_full_train.parq
2025-01-23_20-23-12,f068537b,0.9878663003663004,2DCNNResnet,0.11245608329772949,16,,3,0.3380709324005429,128,4,4.0,0.967823766587503,39,0.2,heart_big_oversampled_full_train.parq
2025-01-25_15-38-08,a8e7b5d8,0.9800824175824175,2DCNNResnet,0.0916047990322113,16,,3,0.3,128,2,8.0,0.9675409297662051,8,0.3,heart_big_oversampled_full_train.parq
2025-01-25_15-38-08,23916882,0.9867216117216118,2DCNNResnet,0.1184678003191948,16,,1,0.3,64,2,8.0,0.9647163072987248,39,0.3,heart_big_oversampled_full_train.parq
2025-01-31_18-57-36,6adccf0a,0.9825367647058824,CNN1DGRUResNet,0.10346540063619614,32,<class 'torch.optim.adam.Adam'>,3,0.3,128,2,4.0,0.9637311302309591,35,0.4,heart_big_SMOTE_train.parq
2025-02-01_22-28-09,912a8b41,0.9751838235294118,CNN2DResNet,0.08869514614343643,32,<class 'torch.optim.adam.Adam'>,7,0.3,64,2,8.0,0.9637054077448248,8,0.4,heart_big_oversampled_full_train.parq
2025-01-25_10-39-41,5bbd8621,0.9832875457875457,2DCNNResnet,0.1288325935602188,16,,2,0.3,64,2,8.0,0.9627535651162025,26,0.2,heart_big_oversampled_full_train.parq
2025-01-23_15-55-17,a2a725a8,0.9626831501831502,2DTransformerResnet,0.12331493943929672,16,,2,0.2747003597655517,64,3,8.0,0.9616228683811106,29,0.27480310674661795,heart_big_oversampled_full_train.parq
2025-01-30_13-26-34,f0e233c7,0.9844322344322345,CNN1DResNet,0.09564455598592758,16,<class 'torch.optim.adam.Adam'>,6,0.13754067064038464,256,4,8.0,0.9611067503924645,23,0.3,heart_big_SMOTE_train.parq
2025-01-30_23-25-55,480dd2a2,0.9764194139194139,CNN1DResNet,0.16348949074745178,16,<class 'torch.optim.adamw.AdamW'>,1,0.3,128,3,4.0,0.96062532298796,8,0.2,heart_big_SMOTE_train.parq
2025-01-28_17-36-47,7c7ad406,0.9754629629629634,AttentionGRU,0.0788055807352066,60,<class 'torch.optim.adam.Adam'>,3,0.14866207051384836,256,2,2.0,0.9604320252610735,19,0.4,heart_big_SMOTE_train.parq
2025-02-01_20-03-18,70048d50,0.9806985294117647,CNN1DGRUResNet,0.10788146406412125,32,<class 'torch.optim.adam.Adam'>,2,0.2,64,2,,0.9602674546825085,39,0.4,heart_big_oversampled_full_train.parq
2025-02-01_10-21-43,fc263c4d,0.9857536764705882,CNN1DGRUResNet,0.09187367558479309,32,<class 'torch.optim.adam.Adam'>,5,0.4,64,2,2.0,0.9593400018766419,27,0.2,heart_big_oversampled_full_train.parq
2025-01-31_20-21-17,36f7e684,0.9866727941176471,CNN1DResNetWithAttention,0.08999384939670563,32,<class 'torch.optim.adam.Adam'>,3,0.3,64,3,2.0,0.9593003030621263,24,0.2,heart_big_oversampled_full_train.parq
2025-01-22_18-54-05,936788a9,0.9772518382352942,2DCNNResnet,0.09977437555789948,32,,3,0.3247027901091531,139,2,,0.9586437806557851,8,,heart_big_oversampled_full_train.parq
2025-02-01_09-02-42,de5d3743,0.9821428571428571,CNN1DResNet,0.09617328643798828,16,<class 'torch.optim.adam.Adam'>,5,0.2,16,3,2.0,0.9584006449391067,29,0.2,heart_big_oversampled_full_train.parq
2025-02-02_11-35-13,681ae735,0.9721966911764706,CNN1DGRUResNetMH,0.09615187346935272,32,<class 'torch.optim.adamw.AdamW'>,2,0.4,64,3,4.0,0.9583872118295272,29,0.3,heart_big_oversampled_full_train.parq
2025-01-31_20-21-17,7eeba1af,0.9741300366300366,CNN1DResNetWithAttention,0.13214589655399323,16,<class 'torch.optim.adam.Adam'>,3,0.4,128,3,8.0,0.9581359320370314,8,0.2,heart_big_oversampled_full_train.parq
